Aff,Neg,Judging,Win,Points/Ranks
"Baylor GW																				Gerbrandt & Wyatt","MOState LE																				Lucas & Engelby","Bunas, Shae",Aff,"28.8																					Gerbrandt																													28.6																					Wyatt																													28.5																					Lucas																													28.7																					Engelby"
"MOState VW																				Van Dyke & Waggoner","Emporia SV																				Sims & Vereen","Bosch, Emily",Aff,"28.6																					Van Dyke																													28.7																					Waggoner																													28.5																					Sims																													28.4																					Vereen"
"K-State ET																				Engle & Thoeni","UCO HL																				Holzwarth & Lott","Allan, James",Aff,"28.8																					Engle																													28.3																					Thoeni																													28.5																					Holzwarth																													27.7																					Lott"
"Kansas BS																				Bastian & Snow","UCO CH																				Colquitt & Huffman","Garcia-Lugo, Juan",Neg,"29.1																					Bastian																													29.2																					Snow																													29.3																					Colquitt																													29																					Huffman"
"UTD IL																				Iske & Lasseter","K-State CT																				Christensen & Turner","Stout, Daniel",Aff,"28.2																					Iske																													28.3																					Lasseter																													28.1																					Christensen																													28																					Turner"
"Baylor EG																				Elkasri & Graham","Concordia KP																				Krueger & Prost","Baker, Zach",Neg,"28.1																					Elkasri																													28.6																					Graham																													28.7																					Krueger																													28.5																					Prost"
"Concordia BS																				Boals & Spindler","Kansas SP																				Semrick & Park","Schauer, Courtney",Neg,"28.7																					Boals																													28.8																					Spindler																													28.9																					Semrick																													29																					Park"
"Houston FT																				Fox & Tom","UTD BW																				Beutelspacher & Watson","Moore, Matthew",Neg,"28.6																					Fox																													28.5																					Tom																													29																					Beutelspacher																													28.9																					Watson"
"Concordia WH																				Wilson & Harvanko","MOState KR																				Kauffman & Reeves","Smith, Jacob",Neg,"28.6																					Wilson																													28.4																					Harvanko																													28.7																					Kauffman																													28.5																					Reeves"
"JCCC AR																				aqui & Redmond","Kansas MR																				Mose & Rose","Joseph, Anthony",Aff,"29.2																					aqui																													28.7																					Redmond																													28.8																					Mose																													29																					Rose"
