Aff,Neg,Judging,Win,Points/Ranks
"Minnesota RD																				Rao & Deverey","Trinity LN																				Lair & Nelson","Kwon, Young",Neg,"28.9																					Rao																													28.5																					Deverey																													29																					Lair																													28.8																					Nelson"
"Navy GR																				Gutierrez & Rock","NYU BS																				Booth & Sherman","Wiseman, Tyler",Neg,"28.3																					Gutierrez																													28.1																					Rock																													28.8																					Booth																													28.9																					Sherman"
"Harvard BY																				Blatt & Young","Michigan HL																				Harrington & Love","Rothenbaum, Nathan",Aff,"29.2																					Blatt																													28.9																					Young																													29																					Harrington																													28.8																					Love"
"UC Berkeley MO																				Malyugina & Overing","Minnesota/Harvard SG																				Shih & Gilmer-Hill","Baker, Will",Aff,"28.8																					Malyugina																													28.5																					Overing																													28.6																					Shih																													28.4																					Gilmer-Hill"
"Dartmouth MG																				Mancini & Gochee","Indiana GH																				Gupta & Holland","Whitmore, Whit",Aff,"29.2																					Mancini																													29																					Gochee																													28.6																					Gupta																													28.5																					Holland"
"Pittsburgh OM																				Osei & Mendoza","Rutgers-Newark HL																				hemnarine & Landrum","Smith, Jacob",Aff,"29.1																					Osei																													28.7																					Mendoza																													29																					hemnarine																													28.5																					Landrum"
"Dartmouth LX																				Lee & Xiang","Trinity MR																				Moore & Rocheleau","Munsinger, Connor",Aff,"28.8																					Lee																													28.5																					Xiang																													28.6																					Moore																													28.7																					Rocheleau"
"Emory BW																				Burgess & Wells","Indiana BL																				Bagan & Lincourt","Louvis, Ezra",Aff,"29.2																					Burgess																													29.1																					Wells																													28.5																					Bagan																													28.6																					Lincourt"
"Harvard CT																				Collins & Tran","Georgetown/NYU CJ																				Clarke & Jones","Zhu, Matt",Aff,"28.4																					Collins																													28.3																					Tran																													28.2																					Clarke																													28.1																					Jones"
"Trinity DK																				Dill & Khullar","UNLV RR																				Reese & Ryerson","Phillips, Scott",Aff,"28.7																					Dill																													28.9																					Khullar																													28.6																					Reese																													28.8																					Ryerson"
"Boston College DV																				Dewhurst & Valdez","UC Berkeley EE																				Eusterman & Eusterman","Hagney, Mitch",Neg,"28.8																					Dewhurst																													29.1																					Valdez																													29																					Eusterman																													28.9																					Eusterman"
"Kansas MM																				Martin & Massa","George Mason BG																				Buckner & Graham","Bennie, Natalie",Aff,"29.5																					Martin																													29.4																					Massa																													29.3																					Buckner																													29																					Graham"
"Baylor CT																				Conner & Thrasher-Evers","Michigan PR																				Pierry & Rabbini","Thomas, Michelle",Neg,"29																					Conner																													28.8																					Thrasher-Evers																													29.2																					Pierry																													29.4																					Rabbini"
"George Mason AH																				Ahmed & Howley","Dartmouth ET																				Estrada & Tambe","Jensen, William",Neg,"28.8																					Ahmed																													29.1																					Howley																													29.2																					Estrada																													29.4																					Tambe"
"George Mason JS																				Joari & Swisher","Rutgers-Newark BA																				Beckford & Asafu-Adjaye","Zoda, Greg",Neg,"28.8																					Joari																													28.6																					Swisher																													28.6																					Beckford																													29.2																					Asafu-Adjaye"
"Mary Washington CH																				Ciocca & Huebler","NYU MP																				Mason & Pierga","Borbon, Michelle",Aff,"28.4																					Ciocca																													28.3																					Huebler																													28.2																					Mason																													28.1																					Pierga"
"NYU ZZ																				Zheng & Zheng","Emory PT																				Poole & Tucker","Van Schenck, Reed",Neg,"28.1																					Zheng																													28																					Zheng																													28.7																					Poole																													28.8																					Tucker"
"Michigan SV																				Smith & Vance","Baylor RW																				Ramsey & Wilson","DeLong, Brian",Neg,"29																					Smith																													29.1																					Vance																													29.3																					Ramsey																													29.2																					Wilson"
"Georgetown BP																				Bernstein & Piliero","Michigan JS																				Jacobs & Stras","Gazmararian, Alex",Aff,"29.8																					Bernstein																													29.6																					Piliero																													29.5																					Jacobs																													29.7																					Stras"
"George Mason DM																				Daou & Morris","Minnesota GF																				Granstrom & Ferguson","Rebrovick, Tripp",Aff,"28.9																					Daou																													29																					Morris																													28.3																					Granstrom																													28.4																					Ferguson"
"Kansas SP																				Semrick & Park","Rochester AM																				Abdulla & Morbeck","Lowe, Kristen",Aff,"28.9																					Semrick																													29																					Park																													28.6																					Abdulla																													28.8																					Morbeck"
"NYU HL																				Hussain & Lu","Dartmouth DC																				DeConcini & Chang","Solice, Maggie",Neg,"28.6																					Hussain																													28.8																					Lu																													28.7																					DeConcini																													29.2																					Chang"
"Dartmouth MS																				McCallum & Safieddine","Kansas HO																				Henry & Ottinger","O'Gorman, Danielle",Aff,"28.8																					McCallum																													28.9																					Safieddine																													28.6																					Henry																													28.7																					Ottinger"
"Dartmouth AS																				Arvind Shankar","Northwestern JW																				Jankovsky & Weideman","Lepp, Nick",Neg,"29																					Shankar																													28.8																					Jankovsky																													28.9																					Weideman"
