Aff,Neg,Judging,Win,Points/Ranks
"Binghamton MeAh																				Ahuja & Mendelson","Texas MR																				McKinley & Real","Rubaie, Brian",Aff,"28.6																					Mendelson																													28.8																					Ahuja																													28.7																					McKinley																													28.4																					Real"
"Dartmouth LV																				Lee & Vergho","Kentucky HE																				Hackman & Eckert","Klinger, Michael",Neg,"28.7																					Lee																													28.7																					Vergho																													29																					Hackman																													28.8																					Eckert"
"George Mason BG																				Buckner & Graham","Northwestern JW																				Jankovsky & Weideman","Makuch, Flynn",Neg,"28.8																					Buckner																													28.7																					Graham																													29.5																					Jankovsky																													29.2																					Weideman"
"Kansas HO																				Henry & Ottinger","UC Berkeley FG																				Fleming & Gray","Callahan, Christopher",Neg,"29																					Henry																													28.9																					Ottinger																													29.1																					Fleming																													29.3																					Gray"
"West Virginia BM																				Baker & Modestita","UC Berkeley NR																				Neelakandan & Ramesh","Byram, Timothy",Neg,"29.5																					Baker																													29.7																					Modestita																													29.8																					Neelakandan																													29.6																					Ramesh"
"Michigan SV																				Smith & Vance","Wake Forest BaCi																				Bathily & Cisse","Poapst, Jackie",Neg,"28.9																					Smith																													28.8																					Vance																													29																					Bathily																													29.2																					Cisse"
"Michigan LH																				Love & Harrington","Kansas EF																				Esquivel-Yglesias & Fitzpatrick","Joseph, Anthony",Neg,"29.2																					Love																													29																					Harrington																													29.1																					Esquivel-Yglesias																													29.3																					Fitzpatrick"
"Pittsburgh OM																				Osei & Mendoza","Trinity DK																				Dill & Khullar","Harper, Allison",Neg,"29																					Osei																													28.8																					Mendoza																													29.3																					Dill																													29.2																					Khullar"
"Northwestern FL																				Fridman & Lowe","Wake Forest EF																				Edwards & Fernandez","Walberg, Alaina",Neg,"28.9																					Fridman																													29																					Lowe																													29.5																					Edwards																													29.4																					Fernandez"
"Dartmouth ET																				Estrada & Tambe","Michigan State SP																				Scullion & Pepper","Perkins, Dallas",Aff,"29.2																					Estrada																													29.4																					Tambe																													29.1																					Scullion																													28.3																					Pepper"
"Emory CM																				Cerny & Morbeck","Pittsburgh FK																				Ferolie & Ku","Harkins, Matt",Neg,"28.4																					Cerny																													28.7																					Morbeck																													29																					Ferolie																													29.4																					Ku"
"Mercer CR																				Cole & Rubio","Houston GS																				Gamble & Sanford","Brough, Taylor",Neg,"28.1																					Cole																													28.3																					Rubio																													28.4																					Gamble																													28.2																					Sanford"
"Baylor CS																				Conner & Smith","Oklahoma WR																				Ross & White","Murphy, Devane",Aff,"29																					Conner																													28.8																					Smith																													28.9																					White																													28.6																					Ross"
"Texas CM																				Coltzer & Marriott-Voss","Michigan HF																				Hall & Franz","Revelins, Armands",Neg,"28.7																					Coltzer																													28.9																					Marriott-Voss																													29.1																					Hall																													29.4																					Franz"
"Trinity LN																				Lair & Nelson","Cornell SV																				Smith & Villa-Forte","DeLong, Brian",Aff,"28.7																					Lair																													28.5																					Nelson																													28.4																					Smith																													28.6																					Villa-Forte"
"Georgia HA																				Haskins & Adam","Indiana GH																				Gupta & Holland","Tomasi, Adam",Neg,"Haskins																												Adam																												Gupta																												Holland"
