Aff,Neg,Judging,Win
"Michigan Smith & Vance																				Smith & Vance","UC Berkeley Bellavita & Wimsatt																				Bellavita & Wimsatt","Turner, John",Aff
"WaySta Husic & Bagdon																				Husic & Bagdon","Missouri State Cade & Morrison																				Cade & Morrison","Cram Helwich, David",Neg
"Michigan Harrington & Love																				Harrington & Love","UC Berkeley Eusterman & Eusterman																				Eusterman & Eusterman","Harrigan, Casey",Aff
"Minnes Ferguson & Jamal																				Ferguson & Jamal","Michigan State Adair & Meloche																				Adair & Meloche","Walters, Heather",Neg
"Kentucky Kendrick & Lopez																				Kendrick & Lopez","Michigan State Grossman & Serrins																				Grossman & Serrins","Morris, Eric",Neg
"Samfor Emerson & Gregory																				Emerson & Gregory","Kentucky Eckert & Hackman																				Eckert & Hackman","Repko, William",Neg
"Missouri State Kauffman & Van Dyke																				Kauffman & Van Dyke","Michigan State Pepper & Scullion																				Pepper & Scullion","Fifelski, Kurt",Neg
"Michigan Pinheiro & Skoulikaris																				Pinheiro & Skoulikaris","Dartmouth Vergho & Lee																				Vergho & Lee","Dehmlow Dunne, Cameron",Aff
"Kentucky Ivackovic & Lucas																				Ivackovic & Lucas","Missouri State Lucas & Dickerson																				Lucas & Dickerson","Klinger, Michael",Aff
"Dartmouth Kadin & Shankar																				Kadin & Shankar","Michigan State Farber & Jones																				Farber & Jones","Hirn, Kevin",Neg
"Michigan Wang & McGraw																				Wang & McGraw","Indiana Bagan & Lincourt																				Bagan & Lincourt","Najor, Bruce",Aff
"Kentucky Jamal & Sanchez																				Jamal & Sanchez","Indiana Holland & Gupta																				Holland & Gupta","McIntosh, Valerie",Aff
"Indiana Oluwayomi & Liu																				Oluwayomi & Liu","Michigan State Sturt & Van Zant																				Sturt & Van Zant","Curtiss, Kristina",Aff
"WaySta Brown & Reynolds																				Brown & Reynolds","Minnes Kowal & Shih																				Kowal & Shih","Stidham, Jasmine",Neg
