Aff,Neg,Judging,Win,Points/Ranks
"Emory KN																				Kraynak & Navarrete","Mary Washington CH																				Ciocca & Huebler","Lepp, Nick",Aff,"28.3																					Kraynak																													28.2																					Navarrete																													28.1																					Ciocca																													28.4																					Huebler"
"Trinity LN																				Lair & Nelson","Cornell SV																				Smith & Villa-Forte","Rothenbaum, Nathan",Neg,"29																					Lair																													29.1																					Nelson																													28.9																					Smith																													29.2																					Villa-Forte"
"Minnesota DG																				Deverey & Granstrom","Miami HL																				Homeijer & Lynch","Harper, Allison",Neg,"28.5																					Deverey																													28.6																					Granstrom																													28.7																					Homeijer																													28.8																					Lynch"
"Missouri State EH																				Engelby & Hopkins","NYU BS																				Booth & Sherman","Klarman, Brian",Neg,"28.5																					Engelby																													28.6																					Hopkins																													28.8																					Booth																													28.9																					Sherman"
"Wayne State BR																				Brown & Reynolds","Kansas MM																				Martin & Massa","Loghry, Chris",Neg,"29.3																					Brown																													28.9																					Reynolds																													29.2																					Martin																													29.1																					Massa"
"Purdue SC																				Steinhart & Case","Cal State Fullerton CK																				Carrasco & Kejejyan","Evans, Rashad",Neg,"28.1																					Steinhart																													28																					Case																													28.4																					Carrasco																													28.3																					Kejejyan"
"West Virginia BM																				Baker & Modestita","Kansas BD																				Butler & Delph","Johnson, Willie",Neg,"29.2																					Baker																													29.4																					Modestita																													29.3																					Butler																													29.5																					Delph"
"Emporia State SV																				Sims & Vereen","Rochester AM																				Abdulla & Morbeck","Rubaie, Brian",Aff,"29.1																					Sims																													29																					Vereen																													28.8																					Abdulla																													28.9																					Morbeck"
"Georgetown MW																				Martinez & Won","Kentucky JS																				Jamal & Sanchez","Najor, Bruce",Neg,"28.7																					Martinez																													28.9																					Won																													28.8																					Jamal																													29																					Sanchez"
"Minnesota FJ																				Ferguson & Jamal","George Mason BM																				Biggs & Morris","Strong, Margaret",Neg,"28.6																					Ferguson																													28.5																					Jamal																													28.8																					Biggs																													28.7																					Morris"
"West Georgia DS																				Davidson & Sturgis","Dartmouth KS																				Kadin & Shankar","Bankey, Brendon",Neg,"28.8																					Davidson																													28.7																					Sturgis																													28.9																					Kadin																													28.5																					Shankar"
"Wake Forest BC																				Bathily & Cisse","Dartmouth ET																				Estrada & Tambe","Kilpatrick, David",Aff,"29.1																					Bathily																													29.5																					Cisse																													29.4																					Estrada																													29.3																					Tambe"
"Emory GS																				Giampetruzzi & Shaikh","Harvard AY																				Aoki & Yeboah","Shook, Lindsey",Aff,"29.4																					Giampetruzzi																													29.3																					Shaikh																													29.1																					Aoki																													29																					Yeboah"
"Baylor HN																				Hudson & Nguyen","UT San Antonio HW																				Hernandez & Weathersby","Whitley, Kevin",Aff,"28.3																					Hudson																													28.2																					Nguyen																													28																					Hernandez																													28.1																					Weathersby"
"Pittsburgh KF																				Ku & Ferolie","Michigan State FJ																				Farber & Jones","Hester, Michael",Aff,"28.7																					Ku																													28.8																					Ferolie																													28																					Farber																													28.2																					Jones"
"James Madison HS																				Harris & Smith","Harvard ZA																				Zheng & Ahmad","Lundeen, Sarah",Neg,"28.8																					Harris																													28.5																					Smith																													29.2																					Zheng																													29.3																					Ahmad"
"Georgetown BP																				Bernstein & Piliero","Louisville BY																				Bryant & Yeargin","Lundeen, Geoff",Neg,"29.6																					Bernstein																													29.4																					Piliero																													29.3																					Bryant																													29.5																					Yeargin"
"Kansas State AE																				Ambrose & Engle","George Mason BG																				Buckner & Graham","Zoda, Greg",Neg,"29.1																					Ambrose																													29																					Engle																													29.3																					Buckner																													29.9																					Graham"
"Harvard BY																				Blatt & Young","Samford EG																				Emerson & Gregory","Hirn, Kevin",Aff,"29																					Blatt																													28.8																					Young																													28.7																					Emerson																													28.6																					Gregory"
"Indiana BL																				Bagan & Lincourt","Baylor CS																				Conner & Smith","Meyers-Levy, Dustin",Neg,"28.3																					Bagan																													28.4																					Lincourt																													29																					Conner																													28.7																					Smith"
"Kansas SM																				Scott & McMahon","Michigan State GS																				Grossman & Serrins","Zhu, Matt",Neg,"29.1																					Scott																													29.4																					McMahon																													29.2																					Grossman																													29.5																					Serrins"
"Wichita State LP																				Lett & Phillips","UC Berkeley NR																				Neelakandan & Ramesh","Dean, Rayvon",Neg,"28.8																					Lett																													28.9																					Phillips																													29.2																					Neelakandan																													29.1																					Ramesh"
"Missouri State DK																				Dickerson & Kauffman","Central Florida DF																				De Izaguirre & Fuller","Hilligoss, Derek",Aff,"28.7																					Dickerson																													28.6																					Kauffman																													28.3																					De Izaguirre																													28.5																					Fuller"
"Louisville BL																				Benthall & Lyles","Central Oklahoma CH																				Colquitt & Huffman","Kelsie, Amber",Aff,"28.4																					Benthall																													28.3																					Lyles																													28.2																					Colquitt																													28.1																					Huffman"
"Baylor GW																				Gerbrandt & Wyatt","Houston GS																				Gamble & Sanford","Larsen, Beau",Neg,"27.9																					Gerbrandt																													27.8																					Wyatt																													28.1																					Gamble																													27.7																					Sanford"
"Michigan HL																				Harrington & Love","Wake Forest EF																				Edwards & Fernandez","Lee, George",Neg,"29.5																					Harrington																													29.6																					Love																													29.8																					Edwards																													29.7																					Fernandez"
"Kansas BS																				Bastian & Snow","Emporia State KM																				Kuiper & Monteith","Smith, Jacob",Aff,"28.8																					Bastian																													28.7																					Snow																													28.6																					Kuiper																													28.5																					Monteith"
"Navy GR																				Gutierrez & Rock","James Madison BK																				Bellis & Konrad","Walrath, Caitlin",Neg,"28.7																					Gutierrez																													28.6																					Rock																													28.9																					Bellis																													28.8																					Konrad"
"Kansas State CT																				Christensen & Turner","Kansas HO																				Henry & Ottinger","Yahom, Jefferson",Neg,"29																					Christensen																													29.1																					Turner																													29.2																					Henry																													29.3																					Ottinger"
"UC Berkeley BW																				Bellavita & Wimsatt","Missouri - Kansas City HD																				Hauschildt & Davis","Bunas, Shae",Aff,"28.9																					Bellavita																													29.2																					Wimsatt																													29																					Hauschildt																													28.8																					Davis"
"Pittsburgh OM																				Osei & Mendoza","Missouri State CL																				Cade & Lucas","Baker, Zach",Aff,"29.7																					Osei																													28.6																					Mendoza																													29.1																					Cade																													28.7																					Lucas"
