Aff,Neg,Judging,Win,Points/Ranks
"WGA Davidson & Sturgis																				Davidson & Sturgis","Kansas Scott & McMahon																				Scott & McMahon","Kilpatrick, David",Neg,"28.9																					Davidson																													28.5																					Sturgis																													29.1																					Scott																													29																					McMahon"
"Texas Watts & Sen																				Watts & Sen","UTD Baez & Watson																				Baez & Watson",".montee, .andy",Aff,"29																					Watts																													29.1																					Sen																													28.7																					Baez																													28.8																					Watson"
"Concordia Harvanko & Prost																				Harvanko & Prost","UTD Lasseter & Iske																				Lasseter & Iske","Walberg, Alaina",Aff,"28.7																					Harvanko																													28.6																					Prost																													28.4																					Lasseter																													28.5																					Iske"
"Wyomin' Bertagnolli & Porterfield																				Bertagnolli & Porterfield","Kansas Lillich & Rodriguez																				Lillich & Rodriguez","Jackson, Jalisa",Aff,"29																					Bertagnolli																													28.6																					Porterfield																													0																					Lillich																													28.9																					Rodriguez"
"UCO Holzwarth & Lott																				Holzwarth & Lott","UTSA Hernandez & Weathersby																				Hernandez & Weathersby","Cerja, Cecilia",Neg,"27.8																					Holzwarth																													27.9																					Lott																													28.1																					Hernandez																													28.2																					Weathersby"
"UMKC Mitchell & Willett																				Mitchell & Willett","The U Homeijer & Lynch																				Homeijer & Lynch","Sternhagen, Fred",Aff,"28.7																					Mitchell																													28.9																					Willett																													28.8																					Homeijer																													28.6																					Lynch"
"UCO Colquitt & Huffman																				Colquitt & Huffman","Kansas Hoffmann & Thomas																				Hoffmann & Thomas","Clarke, Kevin",Aff,"28.9																					Colquitt																													28.8																					Huffman																													0																					Hoffmann																													28.7																					Thomas"
"Texas Coltzer & Marriott-Voss																				Coltzer & Marriott-Voss","UTD Beutelspacher & Kaul																				Beutelspacher & Kaul","Harris, Scott",Neg,"29.2																					Coltzer																													29.4																					Marriott-Voss																													29.5																					Beutelspacher																													29.3																					Kaul"
"K-State Christensen & Thoeni																				Thoeni & Christensen","Kansas Henry & Ottinger																				Henry & Ottinger","Hart, Andrew",Neg,"27.8																					Christensen																													28																					Thoeni																													29.2																					Henry																													29.3																					Ottinger"
"Wyomin' Mitchell & Radcliffe																				Mitchell & Radcliffe","ROOCATS Hauschildt & Engle																				Hauschildt & Engle","Maddy, Leigha",Neg,"28.5																					Mitchell																													28.3																					Radcliffe																													28.8																					Hauschildt																													28.7																					Engle"
"Texas McKinley & Real																				McKinley & Real","Kansas Fitzpatrick & Esquivel-Yglesias																				Fitzpatrick & Esquivel-Yglesias","Waldinger, Patrick",Neg,"28.6																					McKinley																													28.8																					Real																													28.9																					Fitzpatrick																													28.7																					Esquivel-Yglesias"
"Wyomin' Lamb & Talamantes																				Lamb & Talamantes","Kansas Hassett & Snow																				Hassett & Snow","McCullough, Hunter",Neg,"28.5																					Lamb																													28.7																					Talamantes																													28.8																					Hassett																													28.6																					Snow"
"MOState Engelby & Hopkins																				Engelby & Hopkins","Concordia Boals & Spindler																				Boals & Spindler","Garcia-Lugo, Juan",Neg,"28.9																					Engelby																													29																					Hopkins																													29.2																					Boals																													29.1																					Spindler"
