Aff,Neg,Judging,Win,Points/Ranks
"Iowa CP																				Cho & Putney","Michigan State AM																				Adair & Meloche","Curtiss, Kristina",Neg,"28.7																					Cho																													28.8																					Putney																													28.9																					Adair																													28.6																					Meloche"
"UNLV BB																				Boelkens & Bradley","Kansas SM																				Scott & McMahon","Walrath, Caitlin",Neg,"28.6																					Boelkens																													28.5																					Bradley																													29																					Scott																													28.9																					McMahon"
"Michigan KM																				Kane & McGraw","Kansas SP																				Semrick & Park","Stevenson, Ron",Neg,"28.8																					Kane																													28.9																					McGraw																													28.6																					Semrick																													28.7																					Park"
"Minnesota KS																				Kowal & Shih","UNLV RR																				Reese & Ryerson","Repko, William",Neg,"28.4																					Kowal																													28.1																					Shih																													28.9																					Reese																													28.8																					Ryerson"
"Michigan State FJ																				Farber & Jones","Michigan SV																				Smith & Vance","Garrett, Lincoln",Aff,"29.3																					Farber																													29.2																					Jones																													29																					Smith																													29.1																					Vance"
"UNLV BL																				Beckett & Lamsal","Michigan State CW																				Campion & Weber","Lee, Edward",Neg,"28																					Beckett																													28.3																					Lamsal																													28.4																					Campion																													28.1																					Weber"
"Miami HL																				Homeijer & Lynch","Indian OH																				Oluwayomi & Holland","Fifelski, Kurt",Aff,"28.4																					Homeijer																													28.5																					Lynch																													28.3																					Oluwayomi																													28.2																					Holland"
"Wayne State BR																				Brown & Reynolds","Michigan PS																				Pinheiro & Skoulikaris","Gomez, Matt",Neg,"28.5																					Brown																													28.4																					Reynolds																													28.6																					Pinheiro																													28.8																					Skoulikaris"
"Iowa BR																				Bennett & Roetlin","Emory NR																				Navarrete & Rothstein","Najor, Bruce",Aff,"29																					Bennett																													29.1																					Roetlin																													28.6																					Navarrete																													28.8																					Rothstein"
"Wayne State HB																				Husic & Bagdon","Iowa ST																				Sanders & Thomas-McGinnis","Waldinger, Patrick",Aff,"29																					Husic																													28.6																					Bagdon																													28.3																					Sanders																													28.4																					Thomas-McGinnis"
"Michigan HL																				Harrington & Love","Kentucky JS																				Jamal & Sanchez","Solice, Maggie",Aff,"28.9																					Harrington																													28.7																					Love																													28.5																					Jamal																													28.8																					Sanchez"
"Kentucky KL																				Kendrick & Lopez","UNLV AP																				Allen & Padilla","Hirn, Kevin",Aff,"28.5																					Kendrick																													28.4																					Lopez																													27.9																					Allen																													28.2																					Padilla"
"Michigan State VS																				Van Zant & Sturt","Harvard CG																				Collins & Gilmer-Hill","Thompson, Jacob",Neg,"27.5																					Van Zant																													28																					Sturt																													28.4																					Collins																													28.8																					Gilmer-Hill"
