Aff,Neg,Judging,Win,Points/Ranks,Ranks
"Grandview SH																				Sonora & Hiesler","Liberal Arts and Science BW																				Bhansali & Wang","Stolte, Steven",Neg,"3											28.2																					Sonora																																								 4											28.1																					Hiesler																																								 1											28.4																					Bhansali																																								 2											28.3																					Wang",
"Wichita East SA																				Shah & Ajmera","Ronald Reagan CM																				Chavez & Montemayor","Kim, Dohun",Neg,"4											28.2																					Shah																																								 3											28.4																					Ajmera																																								 2											28.6																					Chavez																																								 1											28.8																					Montemayor",
"San Marcos OH																				Obregon & Hutchinson","Crossings Christian SD																				Savill & DeMunbrun","Cody, Kelly",Neg,"4											27.5																					Obregon																																								 2											29																					Hutchinson																																								 3											27.8																					Savill																																								 1											29.1																					DeMunbrun",
"Derby HG																				Hinecker & Graham","Westwood RD																				Reddy & Dombrowski","Marriott-Voss, Mason",Aff,"2											28.7																					Hinecker																																								 1											28.8																					Graham																																								 4											28.3																					Reddy																																								 3											28.5																					Dombrowski",
"Lindale DM																				Desai & McWhorter","Coppell DG																				Desai & Gupta","Schwerdtfeger, Eric",Aff,"1											30																					Desai																																								 3											30																					McWhorter																																								 4											30																					Desai																																								 2											30																					Gupta",
"Godley SB																				Schroeder & Beha","Crossings Christian WR																				Ward & Roby","Harris, Mike",Neg,"3											26																					Schroeder																																								 4											26																					Beha																																								 1											27.5																					Ward																																								 2											27.5																					Roby",
"Crossings Christian HC																				Hanna & Clayton","Jesuit CP WM																				Weigman & Madden","Martinek, Daniel",Aff,"1											28.5																					Hanna																																								 4											25																					Clayton																																								 3											28																					Weigman																																								 2											28.5																					Madden",
"Crossings Christian ID																				Iverson & DeMunbrun","Liberal Arts and Science IJ																				Ilangovan & Jones","Crater, Zoe",Neg,"4											25																					Iverson																																								 2											28.6																					DeMunbrun																																								 1											28.8																					Ilangovan																																								 3											28.6																					Jones",
"Greenhill TK																				Tathgir & Kwon","Jesuit CP AM																				Arroyo & Miller","Wyzykowski, Michael",Neg,"3											28.2																					Tathgir																																								 4											28.1																					Kwon																																								 2											28.2																					Arroyo																																								 1											28.3																					Miller",
"Crossings Christian AK																				Asbury & Kelly","Jesuit CP NH																				Nagorzanski & Hall","Bone, Arthur",Neg,"4											28																					Asbury																																								 1											30																					Kelly																																								 3											29																					Nagorzanski																																								 2											29.5																					Hall",
"Caddo Magnet LR																				Lawrence & Ross","Greenhill WL																				Wegener & Leffler","McFarland, Ryan",Neg,"4											28.4																					Lawrence																																								 3											28.5																					Ross																																								 1											28.8																					Wegener																																								 2											28.7																					Leffler",
"Westwood BaGr																				Bandi & Greisdorf","Katy Taylor BK																				Bandyopadhyay & Kaculi","Box, Brian",Neg,"3											28.3																					Bandi																																								 4											28.2																					Greisdorf																																								 2											28.8																					Bandyopadhyay																																								 1											28.9																					Kaculi",
"Hendrickson GS																				Gutierrez & Scott","Washburn Rural PK																				Park & Khan","Agho-Otoghile, Clement",Aff,"1											29.1																					Gutierrez																																								 3											28.9																					Scott																																								 4											28.8																					Park																																								 2											29																					Khan",
"Godley HL																				Hopkins & Lutrick","Liberal Arts and Science SU																				Scott & Ugarte","Gilbert, Evan",Neg,"4											27.8																					Hopkins																																								 3											27.9																					Lutrick																																								 2											28.5																					Scott																																								 1											28.7																					Ugarte",
"Winston Churchill MB																				Myers & Boarnet","Blue Valley North MM																				McMahon & Mendelson","McCullough, Hunter",Neg,"4											28.4																					Myers																																								 3											28.7																					Boarnet																																								 2											29.1																					McMahon																																								 1											29.2																					Mendelson",
"Ronald Reagan SV																				Siddiqi & Volz","Winston Churchill CR																				Coltzer & Rathwick","St John, Hillary",Neg,"2											29.7																					Siddiqi																																								 4											29																					Volz																																								 1											29.8																					Coltzer																																								 3											29																					Rathwick",
"Kapaun Mount Carmel LP																				Lett & Phillips","Hebron LR																				Lalani & Rizvi","DiPiazza, Philip",Aff,"3											28.5																					Lett																																								 2											28.6																					Phillips																																								 1											28.7																					Lalani																																								 4											28.4																					Rizvi",
"Greenhill RC																				Rothstein & Charnes","Jesuit CP KA																				Kim & Amar","Lain, Brian",Aff,"2											28.2																					Rothstein																																								 1											28.4																					Charnes																																								 3											28																					Kim																																								 4											28																					Amar",
"Westside NP																				Nadella & Pethe","Jesuit CP GT																				Griffiths & Tran","Mithani, Aly",Aff,"2											29																					Nadella																																								 1											29.2																					Pethe																																								 4											28.4																					Griffiths																																								 3											28.6																					Tran",
