Aff,Neg,Judging,Win,Points/Ranks
"Niles North WI																				Williams & Ivackovic","Liberal Arts and Science CU																				Chacon & Ugarte","Quinn, Colin",Aff,"28.4																					Williams																													28.5																					Ivackovic																													28.6																					Chacon																													28.3																					Ugarte"
"Niles West GS																				Glancy & Salehitezangi","Woodward SP																				Srinivasan & Pearson","Whitmore, Whit",Aff,"28.7																					Glancy																													29																					Salehitezangi																													28.9																					Srinivasan																													28.5																					Pearson"
"Prosper HD																				Herring & Derebery","Jesuit CP FJ																				Ferrer-Falto & Jackson","Shore, Sam",Neg,"28.3																					Herring																													28.4																					Derebery																													28.2																					Ferrer-Falto																													28																					Jackson"
"Hendrickson GS																				Gutierrez & Scott","Mountain Brook WH																				Weas & Harris","Garrett, Brandon",Aff,"28.7																					Gutierrez																													29																					Scott																													27.9																					Weas																													28.3																					Harris"
"Highland Park (Dallas) MK																				Muse & Kapadia","Caddo Magnet JR																				Jagot & Ross","Hanson, Brock",Aff,"28.6																					Muse																													28.5																					Kapadia																													27.6																					Jagot																													27.7																					Ross"
"McKinney CB																				Chen & Bellah","Rowland Hall-St Mark DS																				Diamandis & Stone","Schultz, Ben",Neg,"28.9																					Chen																													28.6																					Bellah																													29																					Diamandis																													28.8																					Stone"
"Round Rock GT																				Gurijala & Taus","Glenbrook South KR																				Kenner & Roberts","Reese, Devon",Neg,"28																					Gurijala																													27.7																					Taus																													28.3																					Kenner																													28.1																					Roberts"
"Caddo Magnet PM																				Patterson & Miley","Liberal Arts and Science BW																				Bhansali & Wang","Snider, Tommy",Neg,"28.6																					Patterson																													28.5																					Miley																													28.8																					Bhansali																													28.7																					Wang"
"CK McClatchy LP																				Long & Pham","Katy Taylor BK																				Bandyopadhyay & Kaculi","Awsare, Shree",Aff,"28.9																					Long																													28.8																					Pham																													28.7																					Bandyopadhyay																													28.3																					Kaculi"
"Little Rock Central RW																				Walton & Rayburn","Dowling Catholic TM																				Thursby & McIlhon","Young, Brennan",Neg,"26.9																					Rayburn																													27.9																					Walton																													28.2																					Thursby																													28.7																					McIlhon"
"St. Mark's School of Texas SW																				Sears & Wilson","S. Eugene H. S LS																				Lininger & Saenger","Patel, Kush",Aff,"28.8																					Sears																													29.2																					Wilson																													29.4																					Lininger																													29.3																					Saenger"
"Dowling Catholic WH																				Weinhardt & Haus","Head Royce DH																				Dang & Hui","Cui, Isaac",Neg,"28.6																					Weinhardt																													28.4																					Haus																													29																					Dang																													28.5																					Hui"
"Pace HN																				Henderson & Nottingham","Westminster RD																				Rascoe & Daftari","Kirby, Will",Aff,"28.3																					Henderson																													28.2																					Nottingham																													28.4																					Rascoe																													28.8																					Daftari"
"New Trier EK																				Ewing & Kim","Greenhill HK																				Hurst & Kwon","Munday, Matt",Aff,"28.7																					Ewing																													28.6																					Kim																													28.2																					Hurst																													28.3																					Kwon"
"Hebron NK																				Nguyen & Krish","Montgomery Bell GH																				Glen & Habermann","najmi, abdus",Neg,"28.7																					Nguyen																													28.8																					Krish																													29.4																					Glen																													29.3																					Habermann"
"Midway KJ																				Kuang & Jo","Head Royce NL																				Lee & Navarro","Flowers, Chris",Aff,"28.5																					Kuang																													27.6																					Jo																													27.8																					Navarro																													27.7																					Lee"
"Chattahoochee JN																				Jeong & Nagabhirava","Winston Churchill AD																				Alcala & Davis","Cronin, Mac",Aff,"28.9																					Jeong																													29.2																					Nagabhirava																													28.3																					Alcala																													28.5																					Davis"
"Blue Valley Southwest KL																				Khan & Lowe","McQueen RR																				Reese & Reese","McCartney, Kasi",Neg,"28.8																					Khan																													28.9																					Lowe																													29																					Reese																													29.1																					Reese"
"Wayzata SH																				Stras & He","Crossings Christian CH																				Clayton & Hanna","Mahoney, Tim",Aff,"29.2																					Stras																													29.3																					He																													27.8																					Clayton																													27.5																					Hanna"
"Peninsula JK																				Jalan & Kong","Glenbrook South GS																				Goldberg & Scott","Berthiaume, Maggie",Aff,"29																					Jalan																													28.8																					Kong																													28.7																					Goldberg																													28.9																					Scott"
"Woodlands MR																				Mirazee & Reddy","Cabot BS																				Buckner & Smith","Dipiazza, Philip",Neg,"28.6																					Mirazee																													28.4																					Reddy																													29.3																					Buckner																													28.7																					Smith"
"Coppell DP																				Dammanna & Patel","Niles North KS																				Khan & Sonnier","Sykes, Jason",Aff,"28.9																					Dammanna																													29.2																					Patel																													28.8																					Khan																													29.1																					Sonnier"
"Coppell CD																				Chintalapudi & Donapati","Reagan VS																				Volz & Siddiqi","Yorko, Austen",Neg,"28.3																					Chintalapudi																													28.5																					Donapati																													28.4																					Volz																													28.8																					Siddiqi"
"Winston Churchill BB																				Beere & Boarnet","Niles North LL																				Lorenz & Levin","McFarland, Tracy",Neg,"28																					Boarnet																													27.9																					Beere																													28.1																					Lorenz																													28.2																					Levin"
