Aff,Neg,Judging,Win,Points/Ranks
"Iowa BC																				Blocker & Cho","UMKC DH																				Davis & Hauschildt","Warma, Ried",Neg,"28.2																					Blocker																													28.6																					Cho																													28.5																					Davis																													28.9																					Hauschildt"
"Baylor SW																				Smith & Wyatt","UMKC SC																				Schartz & Curry","Hingstman, David",Aff,"28.9																					Smith																													29.1																					Wyatt																													29																					Schartz																													28.8																					Curry"
"Concordia SK																				Shih & Kosevich","OU BR																				Brown & Rogers","Maurer, Samuel",Neg,"28.6																					Shih																													28.5																					Kosevich																													28.8																					Brown																													28.7																					Rogers"
"KU ST																				Snow & Thomas","MOState KV																				Kauffman & Van Dyke","Moore, Matthew",Aff,"29																					Snow																													28.9																					Thomas																													28.6																					Kauffman																													28.7																					Van Dyke"
"Iowa BR																				Bennett & Roetlin","MOState DS																				Dobler & Slocum","Sternhagen, Fred",Aff,"28.2																					Bennett																													28.4																					Roetlin																													27.4																					Dobler																													27.7																					Slocum"
"UMKC MW																				Mitchell & Willett","Emporia KM																				Kuiper & Monteith","Stout, Daniel",Aff,"28.6																					Mitchell																													29																					Willett																													28.5																					Kuiper																													28.4																					Monteith"
"MOState AS																				Allgood & Smith","Baylor GG																				Gerbrandt & Graham","Rubaie, Brian",Aff,"28.5																					Allgood																													28.7																					Smith																													28.6																					Gerbrandt																													28.4																					Graham"
"Emporia LS																				LaMunyon & Sims","WSU LP																				Lett & Phillips","montee, andy",Neg,"28.1																					LaMunyon																													28.2																					Sims																													28.5																					Lett																													28.6																					Phillips"
"Iowa HM																				Hurt & McIlhon","JCCC MF																				Moncure & Farris","Engelbert, Issie",Neg,"28.7																					Hurt																													28.3																					McIlhon																													29.1																					Moncure																													28.5																					Farris"
"Concordia HK																				Harvanko & Krueger","Iowa NO																				Namakula & Oberto-Besso","Knight, Gabby",Neg,"28.7																					Harvanko																													28.5																					Krueger																													29																					Namakula																													29.3																					Oberto-Besso"
