Aff,Neg,Judging,Win,Points/Ranks
"Binghamton MD																				McFarlane & Diaz","Georgia State CA																				Croitoru & Arashanapalli","Klarman, Brian",Neg,"28.3																					McFarlane																													28																					Diaz																													28.2																					Croitoru																													28.1																					Arashanapalli"
"Michigan State AS																				Adair & Schofield","Kansas EH																				Esquivel-Yglesias & Henry","Tippets, Misty",Neg,"29																					Adair																													28.9																					Schofield																													29.2																					Esquivel-Yglesias																													29.3																					Henry"
"Kentucky BT																				Bannister & Trufanov","Wake Forest NW																				Nys & Williams","Bolman, Brad",Aff,"29.2																					Bannister																													29.5																					Trufanov																													29																					Nys																													28.9																					Williams"
"George Mason AH																				Ahmed & Howley","Kansas HO																				Hoffman & Ottinger","Buntin, Jeff",Neg,"28.7																					Ahmed																													28.8																					Howley																													28.6																					Hoffman																													28.9																					Ottinger"
"Georgia RS																				Rice & Stupek","Michigan State GS																				Grossman & Serrins","Starks, LaTonya",Aff,"29.4																					Rice																													29.3																					Stupek																													29.1																					Grossman																													29.2																					Serrins"
"Dartmouth WM																				Wu & Manda","Pittsburgh FK																				Ferolie & Ku","Slaw, Talya",Neg,"28.6																					Wu																													28.5																					Manda																													28.7																					Ferolie																													28.8																					Ku"
"Dartmouth TE																				Tambe & Estrada","James Madison BK																				Bellis & Konrad","Perkins, Dallas",Aff,"28.9																					Tambe																													28.7																					Estrada																													28.3																					Bellis																													28.6																					Konrad"
"Gonzaga BM																				Basler & Martin","Dartmouth SK																				Safieddine & Kriz","Maurer, Samuel",Aff,"28.8																					Basler																													28.7																					Martin																													28.6																					Safieddine																													28.9																					Kriz"
"Indiana DG																				Duncombe & Gupta","George Mason MT																				Mahowald & Turpen","Morgan, Will",Neg,"28.3																					Duncombe																													28.4																					Gupta																													28.2																					Mahowald																													28.5																					Turpen"
"Binghamton DM																				De Los Santos & Mendelson","Michigan JR																				Jacobs & Roche","Baller, Cameron",Neg,"28.6																					De Los Santos																													28.5																					Mendelson																													28.8																					Jacobs																													28.9																					Roche"
"Michigan PP																				Pierry & Pujol","Pittsburgh KL																				Katz & Lee","McCullough, Hunter",Aff,"28.6																					Pierry																													28.4																					Pujol																													28.3																					Katz																													28.5																					Lee"
"Navy GL																				Gutierrez & Lewis","Harvard BS																				Borbon & Saenger","Atchison, Jarrod",Aff,"29																					Gutierrez																													29.1																					Lewis																													28.9																					Borbon																													28.8																					Saenger"
"Northwestern JW																				Jankovsky & Weideman","Michigan WG																				Walrath & Goldschlag","thomas, michelle",Aff,"29.4																					Jankovsky																													29.6																					Weideman																													29.5																					Walrath																													29.3																					Goldschlag"
"Central Oklahoma CM																				Colquitt & Moore","Missouri State DS																				Dobler & Slocum","Allsup, Andrew",Aff,"28.6																					Colquitt																													28.5																					Moore																													28.1																					Dobler																													28																					Slocum"
"Dartmouth CJ																				Cho & Jun","UNLV RR																				Ryerson & Reese","Fitzmier, Daniel",Neg,"28.1																					Cho																													28.2																					Jun																													28.4																					Ryerson																													28.3																					Reese"
"Wake Forest GK																				Geraghty & Klein","George Mason BH																				Buckner & Hansen","Bhattacharjee, Risha",Neg,"28.5																					Geraghty																													28.7																					Klein																													28.8																					Buckner																													28.6																					Hansen"
"Wake Forest/Wayne State ER																				Eggers & Reynolds","James Madison HM																				Harris & Mingo","Myers, Andrew",Aff,"28.4																					Eggers																													28.2																					Reynolds																													28.3																					Harris																													28.1																					Mingo"
"Emory BY																				Burgess & Yamout","Missouri State DE																				Dickerson & Evans","DeLong, Brian",Aff,"28.7																					Burgess																													29																					Yamout																													28.9																					Dickerson																													28.6																					Evans"
"Kansas BT																				Bastian & Thomas","UT Dallas BM																				Beutelspacher & Mccarty","Reid-Brinkley, Shanara",Neg,"29																					Bastian																													28.4																					Thomas																													29.1																					Beutelspacher																													28.8																					Mccarty"
"UC Berkeley FG																				Fleming & Gray","Kansas HM																				Hegna & Martin","Thompson, Jacob",Aff,"29																					Fleming																													29.3																					Gray																													29.2																					Hegna																													28.9																					Martin"
