Aff,Neg,Judging,Win,Points/Ranks
"Arizona State FE																				Ferdowsian & Encinas","Southern California KK																				Kuang & Kuffour","Gomez, Matt",Neg,"28.5																					Ferdowsian																													28.4																					Encinas																													28.7																					Kuang																													28.8																					Kuffour"
"Fresno State AZ																				Aceves & Zoldoske","Cal State Fullerton SW																				Salgado & White","McBride, Brian",Neg,"28.2																					Aceves																													28																					Zoldoske																													28.6																					Salgado																													28.7																					White"
"Southern California PT																				Pierson & Thai","Weber State MM																				McPherson & Morales","Boroujeni, Tom",Neg,"27.5																					Pierson																													27.4																					Thai																													28.5																					McPherson																													28.4																					Morales"
"Puget Sound WE																				Willoughy & Espinoza Vega","Fresno State MiLo																				Mirza & Lowe","Heydari, Aubtin",Aff,"28.7																					Willoughy																													27.7																					Espinoza Vega																													26.5																					Mirza																													26.8																					Lowe"
"Southern California CP																				Clopton & Perez","CSU Long Beach KB																				Broadway & Karakesisoglu","Thach, Lee",Aff,"29.1																					Clopton																													28.6																					Perez																													28.2																					Karakesisoglu																													29																					Broadway"
"UNLV ST																				Smith & Thymianos","Southern California BF																				Briseno & Flores","Cooper, Deven",Aff,"28.1																					Smith																													28.2																					Thymianos																													28.5																					Briseno																													28.4																					Flores"
"UNLV LF																				LeClaire-Vazquez & Frazee","Southern California WT																				Walters & TBA","Dunn, Izak",Neg,"28.3																					LeClaire-Vazquez																													28.2																					Frazee																													28.1																					Walters																												TBA"
"UNLV QS																				Quintana & Swett","Weber State BT																				Baker & Thiede","Myers, Andrew",Neg,"28.5																					Quintana																													28.4																					Swett																													28.7																					Baker																													28.6																					Thiede"
"Southern California RW																				Rosenthal & Wang","Gonzaga BM																				Basler & Martin","Thompson, Jacob",Aff,"29.1																					Rosenthal																													29																					Wang																													28.8																					Basler																													28.5																					Martin"
"Puget Sound FR																				Frank & Ritner","Cal State Fullerton RB																				Rosas & Burke","Dhillon, Kiran",Aff,"28.9																					Frank																													28.8																					Ritner																													28.7																					Rosas																													28.3																					Burke"
"Southern California DK																				Dille & Khan","UNLV RR																				Ryerson & Reese","Green, LaToya",Aff,"29.6																					Dille																													29.7																					Khan																													29.5																					Ryerson																													29.4																					Reese"
"Fresno State ML																				Martinez & Litt","UNLV RB																				Reyes & Bradley","Chotras, Peter",Aff,"28.1																					Martinez																													28																					Litt																													27.9																					Reyes																													27.8																					Bradley"
"CSU Long Beach PG																				Pineda & Green","Southern California HR																				Hussaini & Robertson","Taylor, Rylee",Neg,"28																					Pineda																													28.2																					Green																													28.4																					Hussaini																													28.3																					Robertson"
