Aff,Neg,Judging,Win
"Kansas FiMa																				Fitzpatrick & Martin","UTSA OW																				Okolo & Weathersby","Jennings, Nicholas",Aff
"Emporia LS																				LaMunyon & Sims","MOState KV																				Kauffman & Van Dyke","Chase, Allie",Neg
"MOState AS																				Allgood & Smith","Texas CV																				Coltzer & Vaidya","Justice, Jacob",Neg
"UTD BK																				Beutelspacher & Kaul","UMKC CS																				Curry & Schartz","Richey, Kate",Neg
"UTD CH																				Carlin & Harmon","Texas HM																				Hutchinson & McKinley","Bunas, Shae",Neg
"UCO CM																				Colquitt & Moore","MOState HP																				Hopkins & Pieper","Rooney, David",Aff
"Emporia KM																				Kuiper & Monteith","UMKC HD																				Hauschildt & Davis","Stout, Daniel",Neg
"WSU HB																				Hinecker & Benson","Baylor GG																				Gerbrandt & Graham","montee, @smallbiz andy",Neg
"Kansas HE																				Henry & Esquivel-Yglesias","MOState DE																				Dickerson & Evans","Samuels, Phil",Aff
"UTD BG																				Brown & Gilbert","Kansas FM																				Fry & Massa","Loghry, Chris",Aff
"UTD WI																				Watson & Iske","Kansas HO																				Hoffman & Ottinger","Morris, Eric",Neg
"Kansas BT																				Bastian & Thomas","UMKC MW																				Mitchell & Willett","Hamaker, Joe",Neg
"Baylor SW																				Smith & Wyatt","Texas SW																				Sen & Watts","Garcia-Lugo, Juan",Neg
"WSU WB																				Brown & Wedel","Texas AC																				Ambrose & Cupo","Joseph, Anthony",Aff
"MOState MW																				Morrison & Waggoner","Kansas SV																				Snow & Velo","Schauer, Courtney",Aff
