Aff,Neg,Judging,Win,Points/Ranks
"Michigan LR																				Love & Rogers","Kansas HO																				Hoffman & Ottinger","Reamer, Hope",Neg,"28.2																					Love																													28																					Rogers																													28.4																					Hoffman																													28.5																					Ottinger"
"Michigan SS																				Shelton & Stras","Michigan State JS																				Jones & Scullion","Justice, Jacob",Aff,"28.9																					Shelton																													28.7																					Stras																													28.6																					Jones																													28.8																					Scullion"
"Indiana LL																				Little & Lincourt","Kansas HE																				Henry & Esquivel-Yglesias","Meyers-Levy, Dustin",Neg,"28.3																					Little																													28.5																					Lincourt																													28.8																					Henry																													28.9																					Esquivel-Yglesias"
"Northwestern BY																				Byrne & Young","Kentucky SW																				Sanchez & Williams","Bosley, Jacob",Aff,"28.8																					Byrne																													28.9																					Young																													28.5																					Sanchez																													28.6																					Williams"
"Michigan VS																				Vance & Smith","Indiana/Wayne KS																				Kalyan & State","Bricker, Brett",Aff,"28.7																					Vance																													28.8																					Smith																													28.3																					Kalyan																													29.2																					State"
"Wayne State NR																				Nelson & Reynolds","Michigan State SG																				Serrins & Grossman","Hirn, Kevin",Neg,"28.5																					Nelson																													28.3																					Reynolds																													28.8																					Serrins																													29																					Grossman"
"Indiana BB																				Bricker & Bagan","Northwestern EU																				Ellis & Unni","Bajorek, Benton",Neg,"27.8																					Bricker																													28.4																					Bagan																													28.6																					Ellis																													28.7																					Unni"
"Michigan FH																				Franz & Hall","Kansas SV																				Snow & Velo","Adam, Amar",Aff,"28.9																					Franz																													29																					Hall																													27.2																					Snow																													28.7																					Velo"
"Harvard AG																				Aoki & Gilmer-Hill","Wisconsin- Madison DG																				DeWet & Gatzmer","Smale, Bee",Aff,"28.7																					Aoki																													28.4																					Gilmer-Hill																													28.5																					DeWet																													28																					Gatzmer"
"Kansas BT																				Bastian & Thomas","Kentucky LK																				Lopez & Kendrick","Kall, Aaron",Aff,"28.6																					Bastian																													28.5																					Thomas																													28.3																					Lopez																													28.4																					Kendrick"
